n_neighbors,weights,p,mean_accuracy,mean_precision,mean_recall,f1_score,total_time,selection_score
3,uniform,1,0.9533224591785385,0.9538088536594149,0.9533224591785385,0.9535655943939894,2.2607779502868652,0.831734784729989
3,distance,1,0.9550432941748077,0.9554755520862633,0.9550432941748077,0.9552593742310174,2.0640087127685547,0.8387939199505744
3,uniform,2,0.9532152793443116,0.9535999325038926,0.9532152793443116,0.953407567126936,0.705819845199585,0.8319373656599437
3,distance,2,0.9554739222729298,0.9558588485855445,0.9554739222729298,0.9556663466687795,0.6726353168487549,0.8412009247568629
5,uniform,1,0.9510643368211606,0.9517795413554169,0.9510643368211606,0.9514218046795935,1.9444105625152588,0.822770583085526
5,distance,1,0.95332292190853,0.9539283461357332,0.95332292190853,0.9536255379313591,2.094522714614868,0.8320770634456768
5,uniform,2,0.9514942708242957,0.9519309929114899,0.9514942708242957,0.9517125817671126,0.653872013092041,0.8247493935573509
5,distance,2,0.9531074054150978,0.9534574981505992,0.9531074054150978,0.9532824196399817,0.68631744384765625,0.831423585348996
7,uniform,1,0.9482681751664381,0.9491395020837171,0.9482681751664381,0.9487036385598502,2.9122233390808105,0.8100856650552505
7,distance,1,0.9517097294764788,0.9524522292656087,0.9517097294764788,0.9520808346076389,2.02043080329895,0.8255792229979108
7,uniform,2,0.9472996812947185,0.9478293547210297,0.9472996812947185,0.9475644439881283,0.7154793739318848,0.8060256321352025
7,distance,2,0.9495583820645855,0.9500487508127472,0.9495583820645855,0.9498035031462347,0.9502830505371094,0.8161658297783623
9,uniform,1,0.9466545778456448,0.9477408200771216,0.9466545778456448,0.947197387536908,2.677755832672119,0.8032117236227596
9,distance,1,0.9496657932638082,0.9505564248174894,0.9496657932638082,0.9501109003217535,2.139192581176758,0.8168824292864341
9,uniform,2,0.9450416167785896,0.9457230986318518,0.9450416167785896,0.945382234893135,0.7251846790313721,0.7955952285758014
9,distance,2,0.947730540757836,0.9482482918049989,0.947730540757836,0.9479893455880789,0.6011261940002441,0.8080712464203458
11,uniform,1,0.9435360669107566,0.9447752508567463,0.9435360669107566,0.9441552522831985,2.587775945663452,0.788518940483139
11,distance,1,0.9456871251164054,0.9467959161509041,0.9456871251164054,0.9462411958176506,2.473954916000366,0.7987771242828248
11,uniform,2,0.9428905585729407,0.9436556112910119,0.9428905585729407,0.9432729298057273,0.6972339153289795,0.7851425734730476
11,distance,2,0.945364023900004,0.946129048753854,0.945364023900004,0.9457463816176584,0.7393884658813477,0.7973555662770968
